id,verbatim,source_type,url,date,occurrences,notes
D-028,"je paie un assistant pour monter les dossiers de réponse aux appels d'offres publics (pièces administratives récurrentes)",jobs,https://candidat.francetravail.fr/offres/recherche/detail/210TQGD,2026-07-25,2,"Assistant administratif BTP Bordeaux 210TQGD + Metz ; connaissance appels d'offres exigée ; à chaque AO (hebdo/mensuel)"
D-029,"je paie un assistant achats pour saisir et suivre les commandes fournisseurs et rapprocher bons de livraison et factures",jobs,https://candidat.francetravail.fr/offres/recherche/detail/196NMPK,2026-07-25,3,"Assistant achats Villette-de-Vienne 196NMPK + Le Broc 196XJFM (rédaction BC, suivi livraisons, traitement factures) + Oisemont 199TNCY ; quotidien"
D-030,"je paie quelqu'un pour relancer les fournisseurs sur les commandes en retard, partielles ou non conformes",jobs,https://candidat.francetravail.fr/offres/recherche/detail/191WHBQ,2026-07-25,1,"Assistant achats F/H Garons (30) ; relances fournisseurs quotidiennes"
D-031,"je paie une secrétaire après-vente pour ouvrir, suivre et clôturer les ordres de réparation dans le logiciel et saisir les dossiers de garantie constructeur",jobs,https://candidat.francetravail.fr/offres/recherche/detail/196RNTF,2026-07-25,6,"Secrétaire APV automobile : Athis-Mons 196RNTF, Cavaillon 198HPNY (facturation depuis OR + saisie garanties), St-Jean-de-Védas 201CPHX, Guebwiller, Marseille, Privas ; concessions/garages ; quotidien"
D-032,"je paie un téléprospecteur (fixe + prime par RDV) pour caler des rendez-vous dans l'agenda des commerciaux et mettre à jour le CRM",jobs,https://candidat.francetravail.fr/offres/recherche/detail/207GFFC,2026-07-25,5,"Téléprospecteur Puteaux 207GFFC + téléconseillers émission d'appels Pessac 207TFRC, Lille 190PQFL, Brignais 210XPMR, Wancourt 208TZNJ ; quotidien ; rémunération indexée sur RDV posés = WTP unitaire explicite"
D-033,"je paie un assistant de gestion pour mettre à jour les tableaux de bord Excel, faire les exports et le reporting",jobs,https://candidat.francetravail.fr/offres/recherche/detail/211KTLQ,2026-07-25,4,"Assistant gestion Vendargues 211KTLQ + assistant commercial Lyon 206KQZL (tableaux encours crédit) + assistant admin 'maîtrise Excel' Rillieux 206XQSD/206XQVD ; hebdo/mensuel"
D-034,"je paie un assistant marketing pour tenir à jour un calendrier prévisionnel hebdomadaire et les tableaux de suivi d'activité",jobs,https://candidat.francetravail.fr/offres/recherche/detail/210CYDR,2026-07-25,1,"Assistant marketing Toulouse (31) ; hebdomadaire"
D-035,"je paie un assistant SAV pour enregistrer les retours produits, décider réparation/échange/avoir et monter les dossiers de demande d'avoir",jobs,https://candidat.francetravail.fr/offres/recherche/detail/210PBVL,2026-07-25,3,"Assistant SAV Nîmes 210PBVL + St-Laurent-de-Mure 205CMWF (saisie retours/échanges/prêts) + La Ricamarie 207VBRC (ouverture et affectation dossiers) ; quotidien"
D-036,"je paie un assistant pour enregistrer les réclamations livraison (retards, casse, erreurs) et suivre avoirs et indemnisations jusqu'à résolution",jobs,https://candidat.francetravail.fr/offres/recherche/detail/210WXXM,2026-07-25,1,"Assistant service clients Gennevilliers (92), distribution ; quotidien"
D-037,"je paie un assistant import-export pour préparer et vérifier la liasse documentaire (factures commerciales, déclarations douane, certificats d'origine, BL) et la saisir dans le logiciel",jobs,https://candidat.francetravail.fr/offres/recherche/detail/204WYPH,2026-07-25,4,"Assistant import-export Montauban 204WYPH + Larcay 189HGWC + Quincié-en-Beaujolais 206RBGJ + St-Denis Réunion 206FZBS ; à chaque expédition"
D-038,"je paie 2900-3100€/mois x13 un assistant syndic pour préparer les convocations d'assemblées générales et diffuser les procès-verbaux",jobs,https://candidat.francetravail.fr/offres/recherche/detail/205FCRZ,2026-07-25,6,"Assistant(e) syndic/copropriété : Paris 8 205FCRZ (2900-3100€ x13 + TR), Asnières 182ZHNT, Dinard 184HVKK, Versailles 190CVGX, Sorgues 202MSCF, Bordeaux 190QJWY ; cycle annuel par immeuble mais volume continu en cabinet"
D-039,"je paie 2000€ brut + variables un assistant d'agence d'intérim pour établir les contrats de mission et saisir les relevés d'heures des intérimaires",jobs,https://candidat.francetravail.fr/offres/recherche/detail/209MYJJ,2026-07-25,5,"Assistant d'agence Lorient 209MYJJ (2000€ + variables) + Nogent-sur-Marne 210DZMF + Vincennes 199CGPB + Fort-de-France 202RNBR + Chartres 174PFHT ; hebdomadaire (paie intérim)"
D-040,"je paie un assistant RH pour les DPAE, la saisie des heures d'intérim, le contrôle des factures d'agence et le classement des dossiers du personnel",jobs,https://candidat.francetravail.fr/offres/recherche/detail/211BMSZ,2026-07-25,4,"Assistant RH Villejust 211BMSZ + Domont 199WNKL (collecte/saisie/vérif variables paie) + Paris 210SPKM (saisie absences maladie, attestations) + Lyon 201DCRB (DSN, attestations France Travail) ; hebdo/mensuel"
D-041,"je paie un assistant communication pour tenir le calendrier éditorial et programmer les publications sur les réseaux sociaux via un outil (Later)",jobs,https://candidat.francetravail.fr/offres/recherche/detail/206HWYR,2026-07-25,3,"Assistant communication Paris 17 206HWYR + Avignon 207YNNF (planning LinkedIn/Instagram + MAJ sites web) + Le Grand-Bornand 204FWWK (programmation posts + newsletter MailChimp + WordPress) ; hebdomadaire"
D-042,"je paie une secrétaire de scolarité pour gérer inscriptions et dossiers élèves chaque rentrée",jobs,https://candidat.francetravail.fr/offres/recherche/detail/207CLRT,2026-07-25,1,"Secrétaire de scolarité Sainte-Geneviève-des-Bois (91) ; pics saisonniers + flux annuel"
D-043,"je paie un(e) assistant(e) d'agence de recrutement pour trier les candidatures, compiler les dossiers candidats et mettre en forme les CV avant envoi aux clients",jobs,https://fr.indeed.com/q-assistante-d'agence-emplois.html,2026-07-25,3,"Assistante d'agence (400+ offres Indeed FR, dont cabinets de recrutement) ; mise en forme CV au format cabinet = tâche récurrente ; preuve indirecte (snippets), fiches détaillées peu accessibles"
D-044,"I pay a data entry clerk $19.66/hour to transfer data from physical documents into our online database and keep spreadsheets updated",jobs,https://www.indeed.com/career/data-entry-clerk/salaries,2026-07-25,15,"Data Entry Clerk US, moyenne nationale $19.66/h (NY $24.31, LA $25.21) ; typing/scanning, verifying data against source documents ; quotidien ; milliers d'offres"
D-045,"I pay an accounts payable clerk ~$20/hour to enter invoices and journal entries into the AP system and general ledger",jobs,https://www.indeed.com/q-invoice-entry-jobs.html,2026-07-25,8,"Accounts Payable Clerk US, $16-25/h (moyenne $19.97) ; 341 offres rien qu'à New York ; quotidien"
D-046,"I pay a purchase ledger clerk £25,684/year to process high volumes of purchase invoices (matching, batching, coding) and reconcile supplier statements",jobs,https://uk.indeed.com/career/purchase-ledger-clerk/salaries,2026-07-25,8,"Purchase Ledger Clerk UK, moyenne £25,684/an (£28,982 à Londres) ; volume élevé quotidien + relances fournisseurs"
D-047,"I pay an appointment setter $16-30/hour to make 8-10 outbound calls per hour, schedule sales appointments and log everything in the CRM",jobs,https://www.indeed.com/q-Hourly-Appointment-Setter-jobs.html,2026-07-25,10,"Appointment Setter US, 18 266 offres Indeed, $20-25/h + commissions ; quotidien"
D-048,"I pay a listing coordinator to enter property listings and changes into the MLS and maintain sales records for our agents",jobs,https://www.indeed.com/q-real-estate-mls-listing-coordinator-jobs.html,2026-07-25,6,"Real Estate Listing/MLS Coordinator US, 1 756 offres Indeed ; saisie MLS + suivi administratif par transaction ; hebdomadaire"
D-049,"je paie un chargé de facturation pour la facturation de la production d'électricité et la relance des factures impayées chaque mois",jobs,https://www.welcometothejungle.com/fr/companies/edf-renouvelables/jobs/gestionnaire-facturation-h-f_la-defense,2026-07-25,1,"Gestionnaire Facturation EDF Renouvelables La Défense CDI ; facturation énergie = calcul + émission + relances, cycle mensuel"
D-050,"je paie un assistant ADV export pour la saisie et le suivi des commandes, la gestion de la liasse export et les litiges",jobs,https://candidat.francetravail.fr/offres/recherche/detail/206RBGJ,2026-07-25,2,"Assistant ADV Export Quincié-en-Beaujolais (vins) + Assistant ADV Angoulême 206MGFG (commande -> facturation, suivi documentaire import/export) ; quotidien"
D-051,"je paie un gestionnaire clientèle en affacturage pour saisir et suivre les opérations courantes des comptes clients",jobs,https://www.welcometothejungle.com/fr/companies/bpce-factor/jobs/gestionnaire-clientele-f-h_charenton-le-pont,2026-07-25,1,"Gestionnaire clientèle BPCE Factor Charenton-le-Pont CDI ; traitement quotidien de flux de factures cédées"
D-052,"je paie une secrétaire médicale de médecine du travail pour planifier les visites et convocations des salariés des entreprises adhérentes",jobs,https://candidat.francetravail.fr/offres/recherche/detail/207MKNC,2026-07-25,1,"Secrétaire médicale médecine du travail Paris 9 ; planification convocations récurrente ; tâche purement administrative"
D-053,"je paie un opérateur de saisie freelance pour la saisie comptable externalisée",jobs,https://fr.indeed.com/q-op%C3%A9rateur-saisie-comptable-freelance-emplois.html,2026-07-25,4,"Indeed FR : 75+ offres 'opérateur saisie comptable freelance' ; preuve d'un marché d'externalisation à la tâche déjà existant"
D-054,"je paie un réceptionniste notamment pour saisir et contrôler les réservations et faire les délogements/pointages",jobs,https://candidat.francetravail.fr/offres/recherche/detail/209PKVW,2026-07-25,2,"Réceptionniste hôtellerie Paris 1er + St-Trojan 211PHFS ; contrôle réservations/pointages quotidien ; douleur partielle (le poste inclut l'accueil physique non automatisable)"
D-055,"je paie un(e) assistant(e) pour saisir les devis et factures et pointer les règlements dans une petite entreprise du bâtiment",jobs,https://candidat.francetravail.fr/offres/recherche/detail/206XWXF,2026-07-25,2,"Assistant polyvalent agence BTP Tresses (33) + assistant exploitation BTP Six-Fours 183WVWX ; TPE artisanale ; hebdomadaire"
D-056,"je paie un stagiaire ou alternant juste pour la saisie de factures",jobs,https://fr.indeed.com/q-stage-saisie-factures-emplois.html,2026-07-25,5,"Indeed FR : 100+ offres 'stage saisie factures' ; signal fort : la tâche est si peu qualifiée qu'on la donne à des stagiaires, WTP = gratification stage (~600€/mois)"
D-057,"je paie un téléopérateur en télétravail pour de la saisie de données à distance",jobs,https://fr.indeed.com/q-saisie-de-donn%C3%A9es-teletravail-emplois.html,2026-07-25,4,"Indeed FR : 100+ offres 'saisie de données télétravail' ; 100% dématérialisé = automatisable par définition"
D-058,"je paie un gestionnaire de sinistres/assistant copro pour traiter les demandes d'intervention et de devis des copropriétaires",jobs,https://candidat.francetravail.fr/offres/recherche/detail/202MSCF,2026-07-25,2,"Assistant syndic Sorgues (traitement demandes d'intervention et devis) + Asnières (OS et suivi sinistres simples) ; quotidien en cabinet"
D-059,"je paie un assistant recrutement/formation pour l'envoi des convocations et courriers liés aux événements de recrutement",jobs,https://candidat.francetravail.fr/offres/recherche/detail/207GQJD,2026-07-25,1,"Assistant formation H/F Gouvieux (60) ; envoi de convocations en masse, récurrent"
D-060,"je paie un chargé de reporting crédit clients pour mettre à jour les tableaux d'encours et alimenter le service credit management",jobs,https://candidat.francetravail.fr/offres/recherche/detail/206KQZL,2026-07-25,1,"Assistant Commercial (h/f) Lyon 7 ; MAJ tableaux encours/limites de crédit + reporting, hebdomadaire"
