id,douleur_courte,acheteur,workflow,connecteurs,type,fit_mcp,interface_requise,prix_plausible,occurrences
C-050,"feedback clients d'agence éparpillé, besoin d'un portail white-label sans compte","dirigeant de petite agence web/marketing, 2-15 personnes",recueil et centralisation du feedback client sur les livrables,email;Slack;outil projet;partage de liens sans compte,niche,moyen,dashboard,50-100 €/mois,1
C-052,"SaaS corporate learning 3,6M$ vendu faute de temps fondateur (signal)","fondateur de SaaS vertical corporate learning, équipe 1-5 — signal de marché (vertical solvable, plafond fondateur)",opérations de formation en entreprise (marché sous-jacent) — signal de sourcing,LMS;RH/SIRH;contenu formation,generique,faible,mixte,"non applicable (signal de marché, pas une douleur achetable directement)",1
C-053,"hybride SaaS/agence 1,25M$ plafonne sur la bande passante fondateur (signal)","fondateur d'hybride service+logiciel, équipe 1-10 — signal de marché","modèle hybride service+logiciel (signal structurel, pas un workflow acheteur)",dépend du vertical servi,generique,faible,mixte,non applicable (signal de marché),1
C-054,"suite no-code immobilier 842K$ vendue à 2,0x, workflows agents mal résolus (signal)","agent/professionnel de l'immobilier (marché sous-jacent), agences 1-20 personnes — signal via listing Acquire",workflows quotidiens des professionnels de l'immobilier (marché sous-jacent),portails immobiliers;CRM immobilier;email;documents,generique,faible,mixte,non applicable (signal de marché ; le sous-jacent supporte 50-150 €/mois/agent),1
C-055,"SaaS engagement collaborateurs plafonne à 278K$, douleur diffuse (signal)",DRH de PME/ETI (marché sous-jacent) — signal de marché (micro-niche RH qui plafonne),engagement et rétention des collaborateurs (marché sous-jacent),SIRH;messagerie interne;enquêtes,generique,faible,dashboard,non applicable (signal de marché — vertical à éviter en micro-SaaS),1
C-056,"outil outreach B2B revendu vite, créneau leadgen saturé et churn (signal)",fondateur d'outil outreach/leadgen — signal de marché (niche saturée à churn élevé),"prospection B2B automatisée (signal de saturation, pas un workflow à adresser tel quel)",LinkedIn;email;CRM,generique,faible,mixte,non applicable (signal de marché — créneau saturé),1
C-057,"micro-SaaS type plafonne vers 200K$ et se vend 2,6x (signal structurel)",fondateur de micro-SaaS — signal structurel agrégé (615 listings Acquire.com),"cycle de vie des micro-SaaS (signal structurel pour le pipeline, pas un workflow acheteur)",,generique,faible,mixte,non applicable (signal structurel),1
C-058,"longue traîne de wrappers IA sans revenus en vente, saturation (contre-signal)","fondateur de wrapper IA horizontal — signal de saturation, douleur acheteuse ambiguë",outils IA horizontaux grand public (contre-signal pour le pipeline),,generique,faible,mixte,non applicable (contre-signal — éviter les wrappers IA horizontaux),1
C-060,outreach multi-canal WhatsApp/LinkedIn non couvert pour cibles MENA,"responsable commercial de PME B2B en région MENA, 5-50 salariés",prospection et outreach commercial multi-canal régional,WhatsApp Business;LinkedIn;CRM;email,niche,moyen,mixte,50-150 €/mois,1
C-061,"réponse trop lente aux leads immobiliers, wedge voix invalidé (signal ambigu)","agent immobilier indépendant (contexte US), agence 1-10 personnes",qualification et réponse rapide aux leads immobiliers entrants,portails immobiliers (leads);téléphonie/SMS;CRM immobilier;calendrier,niche,moyen,mixte,50-100 €/mois,1
C-063,prospection d'agence web gaspillée sur PME déjà équipées d'un webmaster,"fondateur de petite agence web locale, 1-5 personnes",prospection et qualification de leads PME locales,scraping sites web;annuaires/SIRENE;email;LinkedIn,niche,fort,conversationnel,30-80 €/mois,1
C-064,"validation communautaire indie trompeuse, personne ne paie dans la durée (méta-signal)","fondateur de micro-SaaS — méta-signal de méthode (viser un ICP métier réel, pas les pairs)","validation produit (signal de méthode pour le pipeline, pas un workflow acheteur)",,generique,faible,mixte,non applicable (méta-signal),1
C-065,"utilisateurs de niche se vibe-codent leurs solutions, barre plus haute (méta-signal)",fondateur de micro-SaaS — méta-signal structurel (érosion du playbook micro-SaaS),sélection d'opportunités (signal de méthode pour le pipeline),,generique,faible,mixte,non applicable (méta-signal),1
D-002,intérimaire payé pour ressaisir les factures après changement de logiciel,"responsable administratif/financier de site industriel ou logistique, PME 20-100 salariés (Fresnes-lès-Montauban, 62)",migration de logiciel de facturation (reprise et ressaisie des données),ERP/logiciel de facturation source et cible;serveurs de fichiers;Excel,generique,fort,conversationnel,"200-500 € par migration (usage ponctuel, ancré sur le coût intérim)",1
D-004,"assistant payé pour saisir BL, factures, CRA et classer en GED","dirigeant de PME de services ou négoce, 10-50 salariés (La Flèche, 72)","saisie administrative (BL, factures, CRA) et classement GED",email;scan/OCR courrier;comptabilité;GED,generique,fort,mixte,100-300 €/mois,1
D-030,assistant achats payé pour relancer les fournisseurs sur commandes en retard,"responsable achats de PME industrielle ou logistique, 20-100 salariés (Garons, 30)","suivi des commandes fournisseurs et relances (retards, non-conformités)",ERP/achats;email;données fournisseurs,niche,fort,mixte,100-250 €/mois,1
D-034,assistant marketing payé pour tenir calendrier prévisionnel et tableaux de suivi,"responsable marketing de PME, 20-100 salariés (Toulouse, 31)",planification marketing hebdomadaire et reporting d'activité,calendrier;Excel/Sheets;outils marketing;email,generique,fort,mixte,50-150 €/mois,1
D-036,assistant payé pour enregistrer réclamations livraison et suivre avoirs,"responsable service clients d'une entreprise de distribution, 50-200 salariés (Gennevilliers, 92)","gestion des litiges transport/livraison (réclamations, avoirs, indemnisations)",ERP/OMS;portails transporteurs;email;comptabilité (avoirs),niche,fort,mixte,150-300 €/mois,1
D-042,secrétaire payée pour gérer inscriptions et dossiers élèves chaque rentrée,"chef d'établissement scolaire privé, 20-100 personnels (Sainte-Geneviève-des-Bois, 91)",inscriptions et gestion des dossiers élèves (rentrée scolaire),formulaires en ligne;logiciel de vie scolaire (EcoleDirecte/Charlemagne);GED;email,niche,moyen,mixte,100-200 €/mois,1
D-051,gestionnaires payés pour saisir et suivre les opérations d'affacturage,"responsable d'équipe gestion clientèle chez un factor (type BPCE Factor), grande entreprise financière",traitement des opérations d'affacturage (saisie et suivi des comptes clients),core system affacturage;flux bancaires;email;documents cédants,niche,faible,dashboard,"500-1 000 €/mois (acheteur grand compte, cycle de vente long — hors ICP micro-SaaS)",1
D-052,secrétaire médicale payée pour planifier visites et convocations médecine du travail,"directeur de service de prévention et santé au travail interentreprises (SPSTI), 20-200 salariés (Paris 9)",planification des visites médicales et convocations des salariés adhérents,logiciel métier SPSTI;agendas médecins;email/courrier;base adhérents,niche,moyen,mixte,200-400 €/mois,1
E-005,décisions client/partenaire/recrutement prises sans vérification faute de temps,"dirigeant de PME/TPE française, 1-50 salariés","due diligence légère avant engagement (client, partenaire, recrutement)",recherche web (LinkUp);registres entreprises (Pappers/SIRENE);presse;LinkedIn,generique,fort,conversationnel,30-80 €/mois,1
E-008,obligations réglementaires découvertes une fois le délai passé,"dirigeant ou DAF de PME française en secteur réglementé, 5-100 salariés",veille réglementaire sectorielle,sources officielles (Légifrance/JO);presse sectorielle;email,generique,moyen,mixte,50-100 €/mois,1
E-009,rendez-vous enchaînés sans préparation sur l'interlocuteur,"commercial ou dirigeant de PME/TPE B2B française, 1-50 salariés",préparation des rendez-vous commerciaux (brief interlocuteur + entreprise),calendrier;LinkedIn;recherche web;CRM,generique,fort,conversationnel,20-50 €/mois,1
E-014,conversations LinkedIn sur son sujet ratées faute de surveillance continue,"fondateur ou marketeur B2B français, TPE 1-10 salariés",social listening LinkedIn (détection de conversations sur son sujet),LinkedIn (API tierce type Unipile);mots-clés/veille;notifications,generique,faible,dashboard,30-60 €/mois,1
E-016,"invitations LinkedIn une par une, chronophage et risque de blocage","commercial/SDR ou fondateur B2B français, TPE-PME 1-20 salariés",prospection sortante LinkedIn (invitations ciblées),LinkedIn (API tierce type Unipile);CRM;liste de ciblage,generique,moyen,mixte,50-100 €/mois (ancré sur les outils outreach existants),1
E-017,message aux nouvelles connexions LinkedIn oublié une fois sur deux,"commercial/SDR ou fondateur B2B français, TPE-PME 1-20 salariés",enchaînement invitation → message de bienvenue (séquence outreach),LinkedIn (API tierce type Unipile);CRM,generique,moyen,mixte,inclus dans une suite outreach 50-100 €/mois (candidate feature),1
E-018,aucun système pour relancer une seule fois les prospects LinkedIn silencieux,"commercial/SDR ou fondateur B2B français, TPE-PME 1-20 salariés","relance des prospects silencieux (une seule relance, personnalisée)",LinkedIn (API tierce type Unipile);CRM;historique conversations,generique,fort,conversationnel,inclus dans une suite outreach 50-100 €/mois (candidate feature),1
E-019,pas de contact industrialisé de prospects hors réseau (InMail),"commercial/SDR B2B français, TPE-PME 1-20 salariés",contact de prospects hors réseau (InMail à l'échelle),LinkedIn Sales Navigator/InMail (API tierce);CRM,generique,faible,dashboard,inclus dans une suite outreach 50-100 €/mois (candidate feature),1
E-020,invitations LinkedIn en attente saturent le quota sans nettoyage,"commercial/SDR ou fondateur B2B français, TPE-PME 1-20 salariés",hygiène du compte LinkedIn (retrait des invitations en attente),LinkedIn (API tierce type Unipile),generique,faible,dashboard,inclus dans une suite outreach 50-100 €/mois (candidate feature),1
E-021,"invitations reçues laissées en attente, accueil des contacts raté","fondateur ou commercial B2B français, TPE-PME 1-20 salariés",acceptation des invitations reçues + message d'accueil,LinkedIn (API tierce type Unipile);CRM,generique,moyen,mixte,inclus dans une suite outreach 50-100 €/mois (candidate feature),1
E-022,sourcer une shortlist de candidats LinkedIn prend des heures manuelles,"consultant ou gérant de cabinet de recrutement, 2-15 consultants (FR)",sourcing candidats et constitution de shortlists,LinkedIn Recruiter (API tierce type Unipile);ATS;email,niche,fort,conversationnel,100-200 €/mois,1
E-023,aucun moyen simple de repérer les entreprises recrutant le poste cible,"consultant ou gérant de cabinet de recrutement (biz dev), 2-15 consultants (FR)",détection de signaux d'embauche pour la prospection du cabinet,LinkedIn Jobs;job boards (France Travail/WTTJ);CRM,niche,fort,conversationnel,80-150 €/mois,1
E-025,publier les offres d'emploi de l'ATS vers LinkedIn reste manuel,"recruteur en cabinet ou RH de PME française, 2-50 salariés",multidiffusion des offres d'emploi depuis l'ATS,ATS;LinkedIn Jobs API (via Unipile);job boards,niche,faible,dashboard,30-80 €/mois (candidate feature d'un ATS),1
E-026,jonglage permanent entre LinkedIn et l'ATS pour suivre les candidats,"recruteur en cabinet ou RH de PME française, 2-50 salariés",suivi des candidatures d'une offre (centralisation LinkedIn ↔ ATS),LinkedIn (API tierce type Unipile);ATS;email,niche,moyen,mixte,50-100 €/mois,1
E-027,"publication LinkedIn manuelle, impossible de programmer depuis ses outils","créateur de contenu B2B, ghostwriter ou petite agence social media, 1-10 personnes (FR)",programmation et publication de contenu LinkedIn,LinkedIn (API tierce type Unipile);outil de rédaction/calendrier éditorial,generique,moyen,mixte,30-60 €/mois,1
E-028,répondre à chaque commentaire LinkedIn prend un temps indisponible,"créateur de contenu B2B ou fondateur français actif sur LinkedIn, solo-TPE",animation des commentaires sous ses posts LinkedIn,LinkedIn (API tierce type Unipile),generique,fort,conversationnel,20-50 €/mois,1
E-029,engagement régulier des comptes clés impossible à tenir manuellement,"commercial grands comptes ou fondateur B2B français, TPE-PME 1-20 salariés",nurturing relationnel des comptes clés via l'engagement social ciblé,LinkedIn (API tierce type Unipile);CRM;liste comptes clés,generique,fort,mixte,50-100 €/mois,1
