id,douleur_courte,acheteur,workflow,connecteurs,type,fit_mcp,interface_requise,prix_plausible,occurrences
E-043,Aucune vue sur les messages LinkedIn lus et l'état des conversations,"commercial/SDR B2B en suivi de pipeline conversationnel (FR), 1-10 pers.",suivi du cycle de vie des conversations commerciales,LinkedIn API (Unipile);CRM,generique,faible,dashboard,15-30 €/mois,1
E-044,Nouvelles connexions LinkedIn jamais synchronisées au CRM sans saisie manuelle,"commercial/fondateur B2B équipé d'un CRM (FR), 1-20 pers.",alimentation du CRM depuis LinkedIn,LinkedIn API (Unipile);CRM (HubSpot/Pipedrive),generique,moyen,mixte,20-40 €/mois,1
E-046,Gestion centralisée impossible des comptes LinkedIn de l'équipe,"responsable sales ops/growth d'agence ou PME B2B (FR), 5-30 pers.",administration des comptes LinkedIn de l'équipe commerciale,LinkedIn API multi-comptes (Unipile),generique,faible,dashboard,50-100 €/mois,1
E-047,Compte LinkedIn déconnecté = automatisations en panne sans alerte,"responsable growth/sales ops PME ou agence outbound (FR), 5-30 pers.",fiabilité des automatisations de prospection,LinkedIn API (Unipile);Slack/email,generique,faible,dashboard,15-30 €/mois,1
E-048,"Messages WhatsApp clients bloqués dans un téléphone, hors de portée de l'équipe","gérant de TPE de services locale (FR), 2-10 pers.",service client WhatsApp partagé en équipe,WhatsApp Business API,generique,moyen,mixte,30-60 €/mois,1
E-050,Tout arrive dans la même conversation WhatsApp sans tri ni routage,"gérant de TPE/commerce local multi-activités (FR), 2-10 pers.",triage et routage des demandes clients entrantes,WhatsApp Business API,generique,moyen,mixte,30-60 €/mois,1
E-051,Aucun accusé de réception WhatsApp hors heures d'ouverture,"gérant de commerce/TPE de services locale (FR), 1-10 pers.",accusé de réception hors heures d'ouverture,WhatsApp Business API;agenda/horaires,generique,faible,dashboard,10-25 €/mois,1
E-052,Relire trente messages WhatsApp pour retrouver l'état d'un dossier client,"gérant/artisan de TPE gérant ses dossiers clients sur WhatsApp (FR), 1-10 pers.",reprise de contexte sur un dossier client,WhatsApp Business API,generique,fort,conversationnel,20-40 €/mois,1
E-053,Message d'un client furieux noyé dans le flux WhatsApp,"gérant de TPE/commerce local à fort flux WhatsApp (FR), 2-10 pers.",détection et priorisation des clients mécontents,WhatsApp Business API;alertes,generique,moyen,mixte,20-40 €/mois,1
E-054,"Rendez-vous oubliés par les clients, créneaux perdus","praticien/gérant d'activité sur rendez-vous (FR), 1-5 pers.",rappel et confirmation de rendez-vous,WhatsApp Business API;agenda (Google Calendar/résa),generique,moyen,mixte,20-50 €/mois,1
E-055,Devis sans réponse et relances manuelles au bon moment ingérables,"artisan/gérant de TPE fonctionnant au devis (FR), 1-10 pers.",relance de devis en attente,WhatsApp Business API;outil de devis/facturation,generique,fort,mixte,30-60 €/mois,1
E-056,Nouveaux clients livrés à eux-mêmes faute d'onboarding structuré,"gérant de TPE de services ou d'offre à abonnement (FR), 1-10 pers.",onboarding client post-achat,WhatsApp Business API;CRM,generique,moyen,mixte,20-40 €/mois,1
E-057,Clients satisfaits qui ne laissent jamais d'avis faute de relance,"gérant de commerce/TPE locale dépendant des avis Google (FR), 1-10 pers.",collecte d'avis clients,WhatsApp Business API;Google Business Profile,generique,moyen,mixte,15-30 €/mois,1
E-058,Paniers et réservations abandonnés jamais rattrapés à temps,"e-commerçant ou gérant d'activité à réservation en ligne (FR), 1-10 pers.",récupération de paniers/réservations abandonnés,WhatsApp Business API;Shopify/plateforme résa,generique,faible,dashboard,30-60 €/mois,1
E-059,Coachés qui décrochent entre deux séances faute de rappel régulier,"coach indépendant (sportif, nutrition, business) (FR), solo ou 2-5 coachs",suivi d'engagement entre séances,WhatsApp Business API,niche,moyen,mixte,30-60 €/mois,1
E-060,"Points d'avancement des coachés à toute heure, réponse tardive casse la dynamique","coach indépendant (sportif, nutrition, business) (FR), solo",réponse aux points d'avancement des coachés,WhatsApp Business API,niche,fort,conversationnel,40-80 €/mois,1
E-061,Dérouler un programme jour après jour avec des dates de départ différentes,"coach indépendant vendant un programme structuré (FR), solo ou 2-5 coachs",diffusion goutte-à-goutte d'un programme de coaching,WhatsApp Business API;Notion/Sheets,niche,moyen,mixte,30-60 €/mois,1
E-062,Relire des jours de conversation avant chaque séance de coaching,"coach indépendant suivant 10-40 coachés (FR), solo",préparation de séance de coaching,WhatsApp Business API,niche,fort,conversationnel,30-60 €/mois,1
E-063,Aucune preuve concrète que les coachés font leurs exercices,"coach indépendant (sportif, nutrition, habitudes) (FR), solo",vérification des exercices entre séances,WhatsApp Business API (médias),niche,moyen,mixte,20-40 €/mois,1
E-064,Réécouter chaque note vocale de coaché coûte un temps fou,"coach indépendant à forte volumétrie de notes vocales (FR), solo",traitement des notes vocales de coachés,WhatsApp Business API;transcription audio,niche,fort,conversationnel,30-60 €/mois,1
E-065,Info clé reçue sur WhatsApp il y a trois semaines introuvable,"gérant de TPE/indépendant pilotant son activité sur WhatsApp (FR), 1-10 pers.",recherche d'information dans l'historique de messagerie,WhatsApp Business API,generique,fort,conversationnel,10-25 €/mois,1
E-066,"Ressaisie manuelle des adresses, montants et coordonnées reçus sur WhatsApp","gérant/artisan de TPE prenant les commandes sur WhatsApp (FR), 1-10 pers.",extraction de données clients depuis la messagerie,WhatsApp Business API;Google Sheets/CRM,generique,fort,conversationnel,20-40 €/mois,1
E-067,Demandes WhatsApp incessantes dont certaines filent entre les doigts,"gérant de TPE/indépendant sursollicité sur WhatsApp (FR), 1-10 pers.",conversion des demandes en tâches suivies,WhatsApp Business API;Todoist/Notion,generique,fort,conversationnel,15-30 €/mois,1
E-068,"Jongler entre quatre inbox : WhatsApp, LinkedIn, Instagram, email","indépendant/gérant de TPE multi-canaux (FR), 1-5 pers.",gestion unifiée des messageries clients,WhatsApp Business API;LinkedIn API (Unipile);Instagram DM;email,generique,faible,dashboard,30-60 €/mois,1
E-070,"Démarchage indifférencié, énergie gaspillée sur des comptes sans intention d'achat","responsable commercial/growth de PME B2B (FR), 5-30 pers.",priorisation des comptes à prospecter (signaux d'achat),LinkedIn;SIRENE/annonces;offres d'emploi;CRM,generique,moyen,mixte,50-100 €/mois,1
E-074,Firmographie et interlocuteurs ABM = dix onglets ouverts par compte,"commercial/growth B2B en approche ABM, PME ou agence (FR), 2-20 pers.",préparation de fiche compte avant approche ABM,LinkedIn;SIRENE/Pappers;enrichissement (Airscale);CRM,generique,fort,conversationnel,50-100 €/mois,1
E-075,Fichier de prospection bloqué faute d'URLs LinkedIn pour l'enrichissement,"growth/ops de PME ou agence outbound B2B (FR), 2-20 pers.",préparation de fichiers de prospection (résolution d'URLs LinkedIn),LinkedIn;enrichissement (Airscale);CSV/Sheets,generique,moyen,conversationnel,30-60 €/mois,1
E-076,Un email ou un numéro entrant sans aucun contexte sur qui est derrière,"commercial/fondateur B2B traitant des leads entrants (FR), 1-20 pers.",qualification de leads entrants (reverse lookup),enrichissement inversé (Airscale);LinkedIn;CRM,generique,fort,conversationnel,30-60 €/mois,1
E-077,"Chercher, vérifier et sourcer à la main les données hors filtres","growth/analyste de PME B2B ou consultant data-sales (FR), 2-20 pers.",recherche data ad hoc vérifiée et sourcée,recherche web/scraping;LinkedIn;bases entreprises,generique,fort,conversationnel,40-80 €/mois,1
E-078,Constituer à la main la liste des commerces d'un métier sur une zone,"indépendant/agence ciblant les commerces locaux (FR), 1-10 pers.",constitution de listes de prospection locale,scraping Google Maps (Apify);enrichissement;CSV/CRM,generique,fort,conversationnel,30-60 €/mois,1
E-079,Ouvrir ou auditer une activité locale sans connaître la concurrence ni ses avis,"porteur de projet, repreneur ou consultant en commerce local (FR), solo",étude de concurrence locale avant ouverture/audit,scraping Google Maps + avis (Apify),generique,fort,conversationnel,20-50 €/mois,1
E-080,Dépouiller tous les avis Google Maps d'un lieu est ingérable,"gérant de commerce local ou consultant expérience client (FR), 1-10 pers.",analyse de la voix du client (avis en ligne),scraping avis Google Maps (Apify),generique,fort,conversationnel,20-40 €/mois,1
E-081,Auditer et suivre un compte Instagram entièrement à la main,"social media manager freelance ou petite agence social media (FR), 1-10 pers.",audit et veille de comptes Instagram,scraping Instagram (Apify),generique,moyen,mixte,20-50 €/mois,1
E-085,Impossible de regarder les dizaines de chaînes YouTube de sa veille,"consultant/créateur de contenu faisant de la veille sectorielle (FR), solo",veille de contenu vidéo (synthèse de transcripts),YouTube transcripts (Apify),generique,fort,conversationnel,15-30 €/mois,1
E-087,"Compteurs YouTube relevés un jour donné, sans suivi dans le temps","créateur YouTube ou responsable contenu de PME (FR), 1-10 pers.",suivi de performance d'une chaîne YouTube,YouTube données publiques (Apify),generique,faible,dashboard,10-25 €/mois,1
E-095,Se lancer sur une catégorie Amazon sans vue structurée du marché,"vendeur Amazon/e-commerçant en lancement de produit (FR), solo ou 2-5 pers.",étude de marché produit avant lancement Amazon,scraping Amazon (Apify),niche,fort,conversationnel,30-80 €/mois,1
E-096,"Prix d'un concurrent Amazon qui bouge, découvert trop tard","vendeur Amazon/e-commerçant établi (FR), solo ou 2-5 pers.",surveillance tarifaire concurrentielle Amazon,scraping Amazon (Apify);alertes,niche,faible,dashboard,20-50 €/mois,1
