id,douleur_courte,acheteur,workflow,connecteurs,type,fit_mcp,interface_requise,prix_plausible,occurrences
B-004,"lenteurs, timeouts et parsing CV défaillant de l'ATS, re-saisie manuelle","dirigeant d'agence de recrutement/staffing sous Bullhorn, 5-50 recruteurs",parsing et intégration des CV dans l'ATS,ATS;parsing CV;email,niche,fort,conversationnel,50-200€/mois,3
B-009,"support ATS lent et vague, onboarding qui traîne","gérant d'agence de recrutement TPE, 2-15 consultants",paramétrage et prise en main de l'ATS,ATS (Zoho Recruit),niche,faible,mixte,50-150€/mois,3
B-016,hausses de prix fréquentes et frais additionnels du logiciel de gestion locative,"property manager américain, portefeuille de 50-500 lots, 2-20 salariés",gestion locative (outil central du cabinet),compta;banque;email,niche,moyen,mixte,100-300$/mois,3
B-017,"comptabilité confuse du logiciel de gestion locative, reporting et intégration laborieux","gestionnaire immobilier américain sous Buildium, 2-20 salariés",comptabilité et reporting de gestion locative,Buildium;QuickBooks;banque,niche,moyen,mixte,100-300$/mois,3
B-021,"support du logiciel de gestion locative dégradé, attentes interminables","property manager américain client AppFolio de longue date, 5-50 salariés",résolution des blocages sur l'outil de gestion locative,AppFolio;email,niche,faible,mixte,100-300$/mois (alternative mieux supportée),3
B-024,tarification par siège qui punit la croissance de l'équipe field service,"patron d'entreprise de field service américaine en croissance, 10-30 salariés","gestion des interventions terrain (planification, devis, facturation)",calendrier;QuickBooks;SMS;paiements,niche,moyen,mixte,80-200$/mois forfaitaire,3
B-026,"reporting field service sans first-time-fix rate, LTV client ni suivi SLA","patron de société de services terrain américaine sous Jobber, 5-30 techniciens",reporting opérationnel field service (KPIs interventions et clients),Jobber (API);QuickBooks;Excel/Sheets,niche,moyen,dashboard,50-150$/mois,3
B-027,"sync Jobber-QuickBooks cassée: erreurs, doublons, connexions à refaire","contractor américain, 2-20 salariés, Jobber + QuickBooks",synchronisation facturation terrain vers comptabilité,Jobber;QuickBooks,niche,faible,dashboard,30-100$/mois,3
B-032,"implémentation field service de plusieurs mois, chronophage et mal accompagnée","dirigeant ou admin d'entreprise de services terrain américaine migrant vers ServiceTitan, 10-50 salariés",implémentation et migration des données vers l'outil field service,ServiceTitan;données legacy (CSV/exports);QuickBooks,niche,moyen,mixte,100-250$/mois (alternative simple à déployer),3
B-035,outil enterprise surdimensionné vendu aux ateliers de moins de 5 techniciens,"petit contractor américain (plomberie, HVAC, électricité), 1-5 techniciens","gestion complète d'un petit atelier de services terrain (devis, planning, facturation)",calendrier;QuickBooks;SMS/téléphonie;paiements,niche,fort,mixte,50-150$/mois,3
B-039,bugs récurrents et incohérences sur les déclarations fiscales de l'outil comptable,dirigeant de TPE/PME française ou expert-comptable utilisateur de Pennylane,déclarations fiscales (TVA) depuis l'outil comptable,Pennylane;portail impots.gouv,niche,moyen,mixte,50-150€/mois (contrôle/fiabilisation),3
B-046,"erreurs d'extraction OCR sur les lignes de pièces, montants mal placés","bookkeeper ou petit cabinet de tenue comptable anglo-saxon, 1-10 personnes",pré-comptabilité (extraction et codage des pièces),"OCR pièces;compta (Xero, QuickBooks);email",niche,fort,mixte,50-200€/mois,3
B-049,"fonds retenus des semaines après paiement client, payout sous 10 jours","freelance solo (créatif, consultant) facturant via Bonsai",encaissement des paiements clients freelance,paiements (Stripe);banque;facturation,generique,faible,dashboard,20-50€/mois,3
B-051,"support quasi inexistant, aucun humain joignable pour un problème basique",freelance ou petite agence (1-5 personnes) sous Bonsai,résolution des blocages sur l'outil de gestion freelance,Bonsai;email,generique,faible,mixte,20-50€/mois,3
B-053,"hausse tarifaire de +89,5% du CRM solopreneur, fuite vers les alternatives","solopreneur créatif américain (photographe, wedding planner, designer), 1-3 personnes","gestion clients de solopreneur créatif (devis, contrats, paiements)",email;calendrier;paiements;signature/contrats,niche,moyen,mixte,20-60$/mois,3
B-056,setup si complexe qu'une industrie de consultants à 300-1500$ existe,"solopreneur de services américain (coach, designer, photographe), 1-3 personnes","paramétrage des workflows clients (formulaires, contrats, relances automatiques)",Dubsado;email;calendrier;paiements,niche,fort,conversationnel,30-80$/mois,3
B-065,saisie des temps si pénible que les techs loguent le vendredi après-midi,"patron de MSP (services IT managés) sous ConnectWise, 5-30 techniciens",saisie des temps facturables des techniciens,PSA (ConnectWise);ticketing;calendrier;email,niche,fort,conversationnel,100-300$/mois,3
B-068,"interface PSA surchargée, lente aux heures de pointe, apprentissage raide","dirigeant de MSP sous ConnectWise, 5-30 techniciens",gestion quotidienne des tickets et opérations dans le PSA,PSA (ConnectWise);ticketing,niche,moyen,mixte,100-300$/mois,3
B-069,"patchs manqués ou échoués en silence, sans feedback ni contrôle granulaire","patron ou technicien de MSP sous Atera, 2-20 techniciens",patch management des parcs clients,RMM (Atera);alerting,niche,faible,dashboard,50-200$/mois,3
B-072,"erreurs de facturation transport, charges inattendues et remboursements lents",e-commerçant PME (1-20 personnes) à volume d'expéditions régulier,contrôle de la facturation transport et des surcharges,ShipStation;transporteurs;compta,niche,moyen,dashboard,30-100$/mois,3
B-073,"support d'expédition externalisé lent, galères récurrentes de login et 2FA",e-commerçant PME (1-20 personnes) sous ShipStation,expédition quotidienne des commandes,ShipStation;transporteurs,niche,faible,dashboard,30-100$/mois,3
C-011,reconstituer et logger le temps passé par tâche et par client,"gérant d'agence ou de cabinet de conseil facturant au temps, 2-20 consultants (contexte anglo-saxon)",capture des temps facturables par tâche et par client,Jira;git/commits;calendrier;facturation,generique,fort,conversationnel,50-150$/mois,3
