id,douleur_courte,acheteur,workflow,connecteurs,type,fit_mcp,interface_requise,prix_plausible,occurrences
A-037,Expert-comptable solo jonglant entre cinq plateformes non intégrées,expert-comptable solo (cabinet unipersonnel),practice management de cabinet comptable solo,compta;e-signature;drive/GED;email;tableur,niche,moyen,mixte,50-100 €/mois,1
A-038,"Analyse de fichiers comptables de plusieurs millions de lignes, Excel s'écroule","comptable ou analyste en cabinet/PME manipulant de gros volumes, sans compétence SQL",analyse de données comptables volumineuses,fichiers CSV/Excel;moteur de requête local (type DuckDB),generique,fort,conversationnel,20-50 €/mois,1
A-039,Rédaction de fiches de poste chronophage et au résultat décevant,"recruteur in-house de PME/ETI, 50-500 salariés",rédaction et publication de fiches de poste,ATS;job boards;bibliothèque de JD,niche,fort,conversationnel,20-50 €/mois,1
A-040,"Suivi de 75-100 candidats et 15-20 credentials chacun, charge admin écrasante","recruteur en staffing healthcare (credentialing), agence 2-20 consultants",credentialing et suivi administratif des candidats healthcare,ATS;email;bases de vérification de credentials,niche,moyen,mixte,100-200 €/mois,1
A-041,Base candidats d'ATS si pauvre que les notes retombent dans des spreadsheets,"consultant d'agence de recrutement, 2-15 consultants",gestion de la base candidats et des notes d'entretien,ATS;email;tableur,niche,moyen,mixte,50-100 €/mois,1
A-043,"Sourcing de leads business : éplucher Indeed, qualifier, rechercher, saisir au CRM","gérant d'agence de recrutement, 1-10 consultants",prospection commerciale de mandats de recrutement,"job boards (Indeed, scraping);LinkedIn;CRM (Pipedrive);enrichissement entreprise",niche,fort,mixte,100-200 €/mois,1
A-044,Création et gestion manuelles d'un repo GitHub par candidat pour take-homes,"responsable technique ou recruteur tech de startup/scale-up, 10-100 salariés",logistique des tests techniques candidats,API GitHub;ATS;email,niche,moyen,conversationnel,20-50 €/mois,1
A-045,Planification des appels de référence en allers-retours d'emails sans fin,"recruteur en agence ou in-house, 1-20 consultants",prise de références candidats (scheduling tiers),calendrier;email,niche,moyen,mixte,10-30 €/mois,1
A-046,Agence de staffing médical ralentie par six outils non intégrés,"dirigeant d'agence de staffing healthcare, 5-30 salariés","opérations de staffing médical (planning, dossiers, contrats)",planning (Deputy);CRM (Zoho);Google Sheets;e-signature;téléphonie,niche,moyen,mixte,200-400 €/mois,1
A-047,"ATS du marché pensés in-house, inadaptés au fonctionnement d'une agence","dirigeant d'agence de recrutement, 2-20 consultants",gestion des mandats et placements en agence,email;LinkedIn;job boards;CRM,niche,moyen,mixte,100-300 €/mois,1
A-048,"ATS enterprise sur-compliqués, bourrés de fonctions inutiles, pénibles à naviguer","recruteur ou TA manager en entreprise, 100-1000 salariés",gestion quotidienne du pipeline de recrutement,ATS;email;calendrier,niche,moyen,mixte,50-150 €/mois,1
A-050,"Onboarding paie ADP : spreadsheets manuels, appels interminables, 3500 £ de résiliation","responsable RH de PME UK, 20-100 salariés",migration et onboarding de solution de paie,paie;SIRH;tableur,niche,faible,dashboard,50-150 €/mois,1
A-052,Comp review annuel de 700 personnes sur formules Excel maison,"responsable comp & benefits d'ETI, 500-1000 salariés",campagne annuelle de révision salariale et bonus,SIRH;paie;tableur,niche,moyen,dashboard,200-500 €/mois,1
A-053,Suivi des documents d'onboarding des nouveaux embauchés qui échappe au spreadsheet,"coordinateur RH de PME, 50-200 salariés",collecte des documents d'onboarding salarié,SIRH;email;e-signature;drive,niche,moyen,mixte,30-80 €/mois,1
A-054,"Self-billing assureur benefits très manuel, avec erreurs de facturation récurrentes","benefits administrator RH d'ETI US, 200-1000 salariés",réconciliation mensuelle des factures d'assurance benefits,fichiers assureur;paie/SIRH;tableur,niche,moyen,mixte,50-150 €/mois,1
A-055,"Classement des pièces jointes email de chantier (RFI, avenants, plans) très chronophage","conducteur de travaux ou gérant de PME BTP, 5-50 salariés",gestion documentaire de chantier depuis l'email,email;drive/GED;outil de gestion de chantier,niche,fort,mixte,50-100 €/mois,1
A-056,"Entreprise BTP à 5M+ de CA sans système, tout dans la tête du dirigeant","entrepreneur BTP en croissance, 5-15 salariés, 5M+ de CA",pilotage global des chantiers et de l'entreprise,devis;compta;planning;email,niche,moyen,mixte,100-300 €/mois,1
A-059,Affectation matériaux et main-d'oeuvre par chantier perdue entre trois outils,"gérant de sous-traitance BTP, 2-10 salariés",suivi de coûts par chantier (job costing),QuickBooks;QB Time;outil de devis (Stack),niche,moyen,mixte,50-150 €/mois,1
A-061,Consolidation manuelle de données pour évaluer des marchés immobiliers hors État,"investisseur immobilier locatif US (particulier ou semi-pro, out-of-state)",sélection de marché avant investissement locatif,données marché immobilier (Zillow/portails);données démographiques publiques;scraping,niche,fort,conversationnel,20-50 €/mois,1
A-064,Bailleur 100+ lots cherchant à automatiser au-delà des limites d'AppFolio,"bailleur ou gestionnaire immobilier, portefeuille 100+ lots",gestion locative courante d'un portefeuille,AppFolio;email/SMS;paiements;maintenance,niche,moyen,mixte,200-500 €/mois,1
A-066,Créateur de services à domicile perdu sur pricing et choix logiciel,"créateur d'entreprise de services à domicile, solo",structuration initiale : pricing et outillage,outil de field service (Jobber);compta;données de prix marché,niche,moyen,conversationnel,20-50 €/mois,1
A-067,"Chiffrage et takeoff, point noir d'une menuiserie commerciale en lancement","fondateur de menuiserie commerciale B2B, 1-5 salariés",chiffrage et takeoff de devis menuiserie,plans (PDF);bibliothèque de prix matériaux;devis/facturation,niche,fort,mixte,100-200 €/mois,1
A-068,"Solo home services : booking, facturation et créneaux par zone géographique introuvables",artisan/prestataire de services à domicile solo,prise de rendez-vous et tournées géographiques,calendrier;paiement;cartographie (maps),niche,moyen,mixte,20-50 €/mois,1
A-069,"Charge admin du salon (réservations, paiements, comms) qui tue la productivité","gérante de salon (beauté/coiffure), 1-5 personnes",gestion des réservations et de la relation client du salon,Square;Google Calendar;SMS/email,niche,moyen,mixte,30-80 €/mois,1
A-070,Entreprise de ménage en croissance sans stack pour bookings et intervenantes,"gérant d'entreprise de ménage en croissance, 5-20 intervenants",dispatch des interventions et gestion des équipes de ménage,planning;paiement;SMS;CRM (GHL),niche,moyen,mixte,50-150 €/mois,1
A-071,"Panne de 4h30 de l'outil de booking, réservations et revenus perdus","gérant d'entreprise de ménage/services à domicile, 1-20 salariés",prise de réservations en ligne,plateforme de booking;paiement,niche,faible,dashboard,30-80 €/mois,1
A-072,Passage de solo à sous-traitants sans logiciel ni process d'équipe,"gérant d'entreprise de ménage passant en sous-traitance, 1-10 intervenants",structuration du dispatch et de la gestion de sous-traitants,planning;paiement sous-traitants;SMS,niche,moyen,mixte,50-100 €/mois,1
A-073,"Analytics Shopify fastidieux en spreadsheets, outils clés en main trop rigides","marchand Shopify, 1-10 salariés",analyse des ventes et de la performance e-commerce,"API Shopify;plateformes ads (Meta, Google);tableur",niche,fort,mixte,30-80 €/mois,1
A-074,"Provisioning et renouvellement manuels des abonnements vendus, intenables à volume","vendeur d'abonnements en ligne, solo à 5 personnes",provisioning et cycle de vie des abonnements clients,paiement (Stripe);plateforme de comptes/licences;email,niche,faible,dashboard,30-80 €/mois,1
A-075,"Compte Stripe gelé sans préavis, 145 000 $ de payouts bloqués","e-commerçant dépendant d'un PSP unique, 1-20 salariés","gestion du risque prestataire de paiement (holds, gel de compte)",Stripe;PSP alternatifs;compta,generique,faible,dashboard,50-100 €/mois,1
A-076,"Chargeback de 1675 $ d'un client satisfait, dossier de contestation à monter","e-commerçant PME, 1-20 salariés",contestation de chargebacks (representment),processeur de paiement (Stripe);commandes (Shopify);preuves de livraison (transporteur),generique,fort,conversationnel,30-100 €/mois,1
